"","Date","ID.1","ID.2","Site","TimeStamp"
"1",2019-10-23,"Aquaman","Abeja","AZ","11:18:40"
"2",2019-12-30,"Burrito","Adobo","AZ","10:13:38"
"3",2020-02-03,"Diablo","Adobo","AZ","10:59:51"
"4",2020-01-20,"Taco","Adobo","AZ","11:44:47"
"5",2020-01-26,"Taco","Adobo","AZ","10:42:35"
"6",2019-11-17,"Fideo","Aquaman","AZ","7:24:32"
"7",2019-12-29,"Fideo","Aquaman","AZ","9:05:37"
"8",2020-01-26,"Adobo","Burrito","AZ","9:59:57"
"9",2020-01-26,"Adobo","Chalupa","AZ","9:48:36"
"10",2019-12-16,"Taco","Chalupa","AZ","10:03:56"
"11",2020-03-03,"Mangonada","Chilaquile","AZ","11:48:08"
"12",2019-12-29,"Crema","Chile","AZ","9:24:49"
"13",2019-09-05,"Mangonada","Chile","AZ","6:25:29"
"14",2019-12-22,"Pozole","Chimichanga","AZ","8:27:43"
"15",2020-03-03,"Mangonada","Crema","AZ","11:55:48"
"16",2020-03-02,"Paella","Crema","AZ","9:50:05"
"17",2019-11-26,"Pepino","Fideo","AZ","12:18:18"
"18",2019-10-30,"Tripa","Frijoles","AZ","7:41:37"
"19",2020-01-26,"Taco","Guapo","AZ","10:29:28"
"20",2019-12-03,"Uva","Lechuga","AZ","10:32:15"
"21",2020-01-26,"Adobo","Morada","AZ","9:49:14"
"22",2019-11-25,"Taco","Morada","AZ","8:43:32"
"23",2019-09-12,"Naranja","Nacho","AZ","9:11:10"
"24",2019-12-29,"Fideo","Naranja","AZ","8:57:43"
"25",2019-09-12,"Taquito","Naranja","AZ","8:57:41"
"26",2019-12-09,"Abeja","Pan Dulce","AZ","9:51:33"
"27",2019-12-22,"Migas","Pan Dulce","AZ","10:18:00"
"28",2019-12-01,"Mixiote","Pepino","AZ","9:54:54"
"29",2019-12-16,"Taquito","Pepino","AZ","9:14:17"
"30",2020-01-12,"Chilaquile","Pico","AZ","10:04:52"
"31",2020-03-03,"Chilaquile","Pico","AZ","10:54:20"
"32",2020-01-15,"Chimichanga","Pozole","AZ","10:34:37"
"33",2019-09-12,"Sincronizada","Quesadilla","AZ","8:00:19"
"34",2019-12-29,"Adobo","Taco","AZ","10:23:40"
"35",2019-12-03,"Morada","Taco","AZ","12:42:57"
"36",2019-09-05,"Mangonada","Tapa","AZ","6:30:49"
"37",2019-09-12,"Naranja","Taquito","AZ","9:08:27"
"38",2020-01-13,"Tortilla","Taquito","AZ","11:47:53"
"39",2019-12-09,"Abeja","Torta","AZ","9:52:22"
"40",2019-12-02,"Tortilla","Torta","AZ","10:11:10"
"41",2019-12-09,"Abeja","Tortilla","AZ","9:51:48"
"42",2019-09-22,"Fideo","Tortilla","AZ","7:14:13"
"43",2019-01-16,"Taquito","Tortilla","AZ","11:14:31"
"44",2019-10-29,"Abeja","unbanded adult female","AZ","13:34:16"
"45",2019-12-09,"Abeja","unbanded adult female","AZ","9:53:10"
"46",2020-01-26,"Adobo","unbanded adult female","AZ","9:52:56"
"47",2020-01-20,"Ahumada Asada","unbanded adult female","AZ","9:04:23"
"48",2019-03-07,"Aquaman","unbanded adult female","AZ","8:52:52"
"49",2019-09-17,"Aquaman","unbanded adult female","AZ","7:56:12"
"50",2020-03-02,"Azucara","unbanded adult female","AZ","8:26:11"
"51",2019-12-30,"Burrito","unbanded adult female","AZ","10:12:09"
"52",2020-01-27,"Burrito","unbanded adult female","AZ","8:15:52"
"53",2019-10-30,"Cemita","unbanded adult female","AZ","8:33:02"
"54",2019-02-04,"Chalupa","unbanded adult female","AZ","7:45:08"
"55",2019-11-25,"Chalupa","unbanded adult female","AZ","10:27:17"
"56",2020-01-27,"Chalupa","unbanded adult female","AZ","11:19:22"
"57",2020-01-30,"Chilaquile","unbanded adult female","AZ","12:17:57"
"58",2020-03-03,"Chilaquile","unbanded adult female","AZ","10:53:33"
"59",2019-12-22,"Chimichanga","unbanded adult female","AZ","8:45:02"
"60",2020-01-15,"Chimichanga","unbanded adult female","AZ","10:34:51"
"61",2020-02-09,"Chimichanga","unbanded adult female","AZ","10:26:48"
"62",2020-01-27,"Cochinita","unbanded adult female","AZ","9:20:17"
"63",2020-03-02,"Diablo","unbanded adult female","AZ","10:25:43"
"64",2019-02-04,"Fajita","unbanded adult female","AZ","8:21:27"
"65",2019-09-22,"Fideo","unbanded adult female","AZ","7:16:51"
"66",2019-11-17,"Fideo","unbanded adult female","AZ","7:32:46"
"67",2019-12-09,"Fideo","unbanded adult female","AZ","8:04:01"
"68",2019-12-29,"Fideo","unbanded adult female","AZ","9:04:21"
"69",2019-12-03,"Frijoles","unbanded adult female","AZ","8:33:16"
"70",2019-12-08,"Lechuga","unbanded adult female","AZ","9:33:16"
"71",2020-01-16,"Lechuga","unbanded adult female","AZ","8:29:42"
"72",2019-09-22,"Mangonada","unbanded adult female","AZ","8:52:58"
"73",2019-11-15,"Mangonada","unbanded adult female","AZ","7:58:49"
"74",2019-12-22,"Migas","unbanded adult female","AZ","10:08:19"
"75",2019-09-16,"Mixiote","unbanded adult female","AZ","6:35:19"
"76",2019-12-01,"Mixiote","unbanded adult female","AZ","9:56:08"
"77",2019-12-03,"Morada","unbanded adult female","AZ","12:43:36"
"78",2019-09-16,"Nacho","unbanded adult female","AZ","6:55:28"
"79",2019-09-12,"Naranja","unbanded adult female","AZ","9:12:19"
"80",2019-12-16,"Naranja","unbanded adult female","AZ","7:43:52"
"81",2020-01-20,"Naranja","unbanded adult female","AZ","8:26:19"
"82",2019-11-06,"Nopal","unbanded adult female","AZ","9:52:48"
"83",2020-03-02,"Paella","unbanded adult female","AZ","9:52:30"
"84",2019-12-03,"Pan Dulce","unbanded adult female","AZ","10:13:38"
"85",2019-09-17,"Pepino","unbanded adult female","AZ","8:38:10"
"86",2019-11-26,"Pepino","unbanded adult female","AZ","12:26:59"
"87",2020-02-13,"Pepino","unbanded adult female","AZ","9:28:29"
"88",2018-11-28,"Pico","unbanded adult female","AZ","13:35:55"
"89",2019-11-17,"Pico","unbanded adult female","AZ","8:46:01"
"90",2019-11-26,"Pozole","unbanded adult female","AZ","8:04:41"
"91",2019-12-22,"Pozole","unbanded adult female","AZ","8:28:24"
"92",2020-01-28,"Quesadilla","unbanded adult female","AZ","8:40:24"
"93",2019-10-30,"Queso","unbanded adult female","AZ","9:20:00"
"94",2019-09-12,"Sincronizada","unbanded adult female","AZ","7:54:33"
"95",2019-12-16,"Taco","unbanded adult female","AZ","10:05:06"
"96",2020-01-26,"Taco","unbanded adult female","AZ","10:42:21"
"97",2019-09-05,"Tapa","unbanded adult female","AZ","6:38:20"
"98",2019-09-12,"Taquito","unbanded adult female","AZ","9:01:58"
"99",2019-11-17,"Torta","unbanded adult female","AZ","7:55:03"
"100",2020-01-23,"Torta","unbanded adult female","AZ","9:15:36"
"101",2019-09-22,"Tortilla","unbanded adult female","AZ","6:50:24"
"102",2019-12-02,"Tortilla","unbanded adult female","AZ","9:57:51"
"103",2020-01-13,"Tortilla","unbanded adult female","AZ","11:54:50"
